Entity,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,11.09474322,11.17517826,11.05447241,10.93109267,10.83979025,10.65562638,10.53847527,10.39112875,10.21915363,10.03665661,9.875392582,9.721869255,9.570650579,9.447661387,9.346730598,9.319113991,9.251599862,9.1885684
Albania,4.867019571,5.051083949,5.266104023,5.464625751,5.631023639,5.616377499,5.500652419,5.329978651,5.421475588,5.286600485,5.257754013,5.239571863,5.199616564,5.196816017,5.216570183,5.191083289,5.155579107,5.108780608
Algeria,5.268358672,5.265956226,5.249789225,5.09878635,5.039528554,4.967048953,4.881888922,4.790792192,4.691237623,4.603041345,4.507493344,4.462070327,4.388441623,4.34927012,4.329456577,4.291621911,4.1878147,4.124306462
American Samoa,6.614259369,6.664233558,6.655360533,6.640536302,6.513566492,6.370166906,6.294535668,6.36088207,6.477087698,6.474943099,6.559889929,6.609073415,6.641877766,6.663810971,6.684827128,6.792609725,6.753623477,6.738544884
Andean Latin America,5.99208738,5.804329743,5.901376817,6.019007114,6.050251858,6.094923873,6.024279003,6.046650104,6.115917031,6.232463047,6.227206748,6.133322865,5.97595322,5.724302136,5.555712041,5.467845591,5.410889213,5.389730469
Andorra,9.533035021,9.40646606,9.271336458,9.208443644,9.205391432,9.067001825,8.947916813,8.837502006,8.738516869,8.65729272,8.562680063,8.436108492,8.387059023,8.290929387,8.083799955,7.967667371,7.944369505,7.912272825
Angola,15.78042864,15.40443951,14.94701168,14.83451157,14.90054446,14.41347832,14.23917994,13.88048173,13.61103728,13.39023376,13.17799801,13.04844291,12.9313702,12.74010478,12.33509986,12.16901468,11.98816387,11.96630535
Antigua and Barbuda,2.624641895,2.592134457,2.583096804,2.596712511,2.595665222,2.60167833,2.589962939,2.585438932,2.627149695,2.645781765,2.660230168,2.687918933,2.657853906,2.659581833,2.67756715,2.682500687,2.664481702,2.650124496
Argentina,12.28835527,12.46350279,12.44992756,11.83360221,11.04560039,10.89904752,10.86698397,11.18162893,11.12339426,11.04245788,10.78392196,10.90434089,11.06427887,11.07401041,10.82028868,10.57032058,10.62744585,10.60968195
Armenia,3.715407407,3.906863428,4.142097029,4.386587369,5.023305247,5.821915806,6.792787802,7.024677928,7.697774557,8.128305618,8.513010799,8.749870878,8.847523398,8.602338677,8.517576391,8.522066348,8.464023593,8.263799266
Australasia,12.56527759,12.01453841,11.6289055,11.31449283,10.99873916,10.77424468,10.58438718,10.83180898,10.9450788,10.947482,10.93448071,10.82045094,10.67679026,10.63070826,10.9596458,11.22540328,11.09769257,11.08220908
Australia,12.44325856,11.79419628,11.35699273,10.97537392,10.65348511,10.41425258,10.25500911,10.5408221,10.69683605,10.74031152,10.75843653,10.64535537,10.49414471,10.53358955,10.96272686,11.2778022,11.08186987,11.04688494
Austria,15.91662967,15.38262714,15.12614992,14.65762585,14.20984633,13.79773461,13.0886908,12.9001525,12.48758038,12.87962117,12.78292956,12.45983785,12.1332178,11.89166092,11.84142702,11.77047639,11.42054584,11.20215699
Azerbaijan,3.137434603,3.530223192,3.724613235,4.030179673,4.328853138,4.601097706,4.833657395,5.143127211,4.945721798,4.798191803,4.726909309,4.649638539,4.537995342,4.436538839,4.332896802,4.202942847,4.107187878,4.071032014
Bahamas,3.195061501,3.106689621,2.997781985,2.986367908,2.957948741,2.916657054,2.951952381,2.960268558,3.010864343,3.048829025,3.083000976,3.122921914,3.13089177,3.119303419,3.156458365,3.161859838,3.16952292,3.17229923
Bahrain,7.19097494,7.451074925,7.55723806,7.721511638,7.939496227,7.779529751,7.290588225,6.881515458,6.389655386,5.838648103,5.303096423,4.932405539,4.729990739,4.436463463,4.272502954,4.268414686,4.249785574,4.227149676
Bangladesh,7.882312369,7.63625019,7.41337577,7.177900382,7.205384678,7.324500051,7.505359969,7.64655254,7.63814228,7.46234822,7.482376863,7.061707729,6.732162248,6.487200279,6.42748148,6.217116213,6.040776809,6.032121179
